text,label
"I absolutely loved this product, it exceeded all my expectations!",positive
"This is the worst purchase I have ever made. Complete waste of money.",negative
"The quality is outstanding and delivery was super fast.",positive
"Terrible customer service. They ignored my complaint for weeks.",negative
"Amazing experience from start to finish. Highly recommend!",positive
"Product broke after two days. Very disappointed.",negative
"Great value for money. Works exactly as described.",positive
"Packaging was damaged and the item inside was scratched.",negative
"Five stars! Will definitely buy again from this seller.",positive
"Do not buy this. It stopped working within a week.",negative
"Exceeded my expectations in every way. Brilliant product.",positive
"Awful quality. Looks nothing like the pictures online.",negative
"Fast shipping and the product is exactly what I needed.",positive
"I regret buying this. It is cheaply made and falls apart.",negative
"Superb craftsmanship and attention to detail. Love it.",positive
"The worst product I have ever used. Completely useless.",negative
"Very happy with my purchase. Great quality at a fair price.",positive
"Broken on arrival. Seller refused to offer a refund.",negative
"Fantastic! Works perfectly and looks great too.",positive
"Extremely poor quality. Would not recommend to anyone.",negative
"Solid build quality and easy to set up. Very impressed.",positive
"Stopped working after one use. Total disappointment.",negative
"Brilliant product. Does exactly what it says on the box.",positive
"Cheap and flimsy. Fell apart after a few days of use.",negative
"Really pleased with this purchase. Great customer support too.",positive
"Misleading description. The product is nothing like advertised.",negative
"Top quality item. Arrived quickly and well packaged.",positive
"Horrible experience. The product is defective and useless.",negative
"Love this product! It has made my daily routine so much easier.",positive
"Waste of money. The product does not work as described.",negative
"Excellent product. Very durable and well designed.",positive
"Terrible quality. Broke on the first day of use.",negative
"So happy with this! Great product and fast delivery.",positive
"Completely useless. Does not do what it claims to do.",negative
"Perfect in every way. Highly satisfied with my purchase.",positive
"Very poor quality. I am extremely disappointed.",negative
"Outstanding product. Works better than expected.",positive
"Junk. Absolute junk. Do not waste your money.",negative
"Impressed by the quality and the speed of delivery.",positive
"Defective product. Customer service was no help at all.",negative
"This product is a game changer. Absolutely love it.",positive
"Regret this purchase. The product is poorly made.",negative
"Wonderful product. Exactly as described and great quality.",positive
"Arrived broken. Seller was unhelpful and rude.",negative
"Best purchase I have made this year. Highly recommend.",positive
"Terrible. Stopped working after just two uses.",negative
"Really good quality. Very happy with this item.",positive
"Not worth the price. Very disappointed with the quality.",negative
"Fantastic quality and great value. Will buy again.",positive
"Awful product. Broke immediately and seller ignored me.",negative
"Very well made and works perfectly. Great buy.",positive
"Poor quality and misleading product description.",negative
"Absolutely brilliant. Does exactly what I needed.",positive
"Cheap rubbish. Fell apart within days of arrival.",negative
"Great product. Solid build and easy to use.",positive
"Completely broken on arrival. Very frustrating experience.",negative
"Love it! Works great and looks even better in person.",positive
"Terrible product. Would not recommend to my worst enemy.",negative
"Excellent value. Very impressed with the quality.",positive
"Useless product. Does not work at all.",negative
"Really happy with this. Great quality and fast shipping.",positive
"Broken after one day. Extremely poor quality.",negative
"Perfect product. Exactly what I was looking for.",positive
"Waste of time and money. Very poor quality.",negative
"Superb product. Works flawlessly and looks amazing.",positive
"Horrible quality. Fell apart immediately after opening.",negative
"Very satisfied with this purchase. Great product.",positive
"Do not buy this product. It is a complete scam.",negative
"Brilliant value for money. Works perfectly.",positive
"Terrible experience. Product was defective and useless.",negative
"Great item. Arrived quickly and in perfect condition.",positive
"Extremely disappointed. Product broke on first use.",negative
"Highly recommend this product. Excellent quality.",positive
"Very poor. Stopped working after a few hours.",negative
"Amazing product. Exceeded all my expectations.",positive
"Cheap and nasty. Not worth the money at all.",negative
"Solid and reliable. Very happy with this purchase.",positive
"Defective out of the box. Seller refused to help.",negative
"Wonderful. Works exactly as described and looks great.",positive
"Absolutely terrible. Broke immediately and useless.",negative
"Great quality and fast delivery. Very pleased.",positive
"Misleading product. Nothing like the description.",negative
"Excellent product. Very durable and easy to use.",positive
"Junk product. Broke after one day of use.",negative
"Very happy with this item. Great quality.",positive
"Terrible quality. Would not buy again.",negative
"Fantastic product. Works perfectly every time.",positive
"Awful. Stopped working within hours of use.",negative
"Really impressed with the quality and packaging.",positive
"Completely useless. Does not work as advertised.",negative
"Love this product. Best purchase I have made.",positive
"Very disappointed. Product is cheaply made.",negative
"Excellent. Works great and arrived on time.",positive
"Broken on arrival. Very poor customer service.",negative
"Top quality product. Highly recommend.",positive
"Terrible. Fell apart after just one use.",negative
"Great product. Does exactly what it promises.",positive
"Awful quality. Regret buying this completely.",negative
"Very pleased with this purchase. Works perfectly.",positive
"Useless junk. Do not waste your money on this.",negative
